Name,Length,Clarity,Depth,Temperature,Density,Width,Length,Area,Notes,Collection,Process
P1A,355,1,2,21,4640,722,1363,98.4086,NA,17/06/2021,17/06/2021
P1B,430,1,2,21,4640,722,1363,98.4086,NA,18/06/2021,18/06/2021
P2A,210,1,2,21,4640,722,1363,98.4086,NA,19/06/2021,19/06/2021
P2B,425,1,2,21,4640,722,1363,98.4086,NA,20/06/2021,20/06/2021
P3A,465,2,2,21,4640,722,1363,98.4086,NA,21/06/2021,21/06/2021
P3B,340,1,2,21,4640,722,1363,98.4086,NA,22/06/2021,22/06/2021
V1A,295,1,2.5,22,3045,1409,740,104.266,NA,15/06/2021,16/06/2021
V1B,320,3,2.5,22,3045,1409,740,104.266,NA,16/06/2021,17/06/2021
V2A,385,1,2.5,22,3045,1409,740,104.266,NA,17/06/2021,18/06/2021
V2B,430,2,2.5,22,3045,1409,740,104.266,NA,18/06/2021,19/06/2021
V3A,210,3,2.5,22,3045,1409,740,104.266,NA,19/06/2021,20/06/2021
V3B,570,3,2.5,22,3045,1409,740,104.266,NA,20/06/2021,21/06/2021
Kat1A,410,3,3,20,2800,483,1207,58.2981,NA,16/06/2021,16/06/2021
Kat1B,640,1,3,20,2800,483,1207,58.2981,NA,17/06/2021,17/06/2021
Kat2A,275,2,3,20,2800,483,1207,58.2981,NA,18/06/2021,18/06/2021
Kat2B,220,3,3,20,2800,483,1207,58.2981,NA,19/06/2021,19/06/2021
Kat3A,350,1,3,20,2800,483,1207,58.2981,NA,20/06/2021,20/06/2021
Kat3B,370,3,3,20,2800,483,1207,58.2981,NA,21/06/2021,21/06/2021
K1A,285,1,2.7,20,3200,1312,5000,656,NA,15/06/2021,15/06/2021
K1B,325,2,2.7,20,3200,1312,5000,656,NA,16/06/2021,16/06/2021
K2A,620,3,2.7,20,3200,1312,5000,656,NA,17/06/2021,17/06/2021
K2B,565,3,2.7,20,3200,1312,5000,656,Eggs,18/06/2021,18/06/2021
K3A,310,3,2.7,20,3200,1312,5000,656,NA,19/06/2021,19/06/2021
K3B,270,1,2.7,20,3200,1312,5000,656,NA,20/06/2021,20/06/2021
X1A,420,3,2.4,24,3520,465,300,13.95,NA,1/07/2021,1/07/2021
X1B,390,1,2.4,24,3520,465,300,13.95,NA,1/07/2021,1/07/2021
X2A,470,1,2.4,24,3520,465,300,13.95,NA,1/07/2021,1/07/2021
X2B,495,2,2.4,24,3520,465,300,13.95,NA,1/07/2021,1/07/2021
X3A,395,2,2.4,24,3520,465,300,13.95,NA,1/07/2021,1/07/2021
X3B,295,3,2.4,24,3520,465,300,13.95,NA,1/07/2021,1/07/2021
